,ID,Created,Text
47,1319206853553713155,Thu Oct 22 09:19:58 +0000 2020,"RT @gamespark: 『マインクラフト』JavaバージョンがMicrosoftアカウント移行へ―移行数カ月後には現アカウントは使用不能に
https://t.co/Iy2HHojjxH"
48,1319206843395100673,Thu Oct 22 09:19:55 +0000 2020,"RT @MissVPR_Borneo: Let's learn Microsoft excel shortcuts that you should know, your friend should know &amp; anyone who work with excel should…"
49,1319206837720285185,Thu Oct 22 09:19:54 +0000 2020,The U.S. could learn a lot from Europe's 20 years of battles with Microsoft and Google https://t.co/aswM00SbBr via @msnbc
50,1319206835811921921,Thu Oct 22 09:19:53 +0000 2020,Read about how thousands of people with disabilities shape the technology you probably use every day https://t.co/YEtVoXoPzk
51,1319206803348082688,Thu Oct 22 09:19:46 +0000 2020,Microsoft 365 entwickelt sich gerade in rasendem Tempo weiter... Zeit für ein Update mit unseren Experten Benjamin.… https://t.co/fackIJ2KPl
52,1319206796754640898,Thu Oct 22 09:19:44 +0000 2020,"RT @Anne_Michels: Microsoft does not plan for US employees to come back to the office before July 2021.

I'm really glad to work for a comp…"
53,1319206795378892800,Thu Oct 22 09:19:44 +0000 2020,RT @JKHopf: Why can't #google &amp; #Microsoft be friends? :( I don't want to have two calendars!
54,1319206753968541698,Thu Oct 22 09:19:34 +0000 2020,Microsoft jugando al monopoly in real life
55,1319206750331957248,Thu Oct 22 09:19:33 +0000 2020,"Java版のマイクラも
Microsoftのアカウント登録が
必要になるのか～"
56,1319206748545273857,Thu Oct 22 09:19:33 +0000 2020,"うーん
『マインクラフト』Java版ユーザー、2021年よりMicrosoft アカウントの移行が必須に。旧アカウントの停止も公表され、不安広がる | AUTOMATON https://t.co/i6WfJW6rnZ https://t.co/xCLwTGONSM"
57,1319206747047854080,Thu Oct 22 09:19:32 +0000 2020,"RT @FrMinecraft: Si vous jouez sur #Minecraft Java Edition, vous allez devoir procéder à la migration de votre compte Mojang vers un compte…"
58,1319206737124077569,Thu Oct 22 09:19:30 +0000 2020,"RT @minecraftjapan: Java版MinecraftはMojangアカウントからMicrosoftアカウントに移行する予定です

セキュリティが強化され、
Minecraft Dungeonsも同じアカウントでプレイできるようになるなど、利点は様々！

ステキな…"
59,1319206735781847041,Thu Oct 22 09:19:30 +0000 2020,"RT @obra: After an 18 year hiatus, Microsoft is once again producing a web browser that runs in the X Window System.

https://t.co/I9IlvkuI…"
60,1319206735136149510,Thu Oct 22 09:19:29 +0000 2020,Wann kommt endlich Gates Microsoft Armee und chippt uns per Maschinengewehr? Ich warte...
61,1319206726848155649,Thu Oct 22 09:19:28 +0000 2020,"RT @mariadearteaga: It's great to see policy makers addressing the need for human oversight of algorithms, but a human in the loop isn't a…"
62,1319206725581299712,Thu Oct 22 09:19:27 +0000 2020,"RT @MissVPR_Borneo: Let's learn Microsoft excel shortcuts that you should know, your friend should know &amp; anyone who work with excel should…"
63,1319206720095178752,Thu Oct 22 09:19:26 +0000 2020,RT @SaziumR: 【重要】2021年初頭より段階的にMinecraft: Java Editionのアカウントは2段階認証などのセキュリティを含むMicrosoftアカウントに強制的に移行されます。移行しない場合はプレイができなくなります。移行すると、特別なマントが貰え…
64,1319206717075456000,Thu Oct 22 09:19:25 +0000 2020,"@Bluebelldigital Bit of both perhaps? There's loads of companies you could argue that about - Microsoft, Apple etc etc #SussexHour"
65,1319206715913482241,Thu Oct 22 09:19:25 +0000 2020,Why can't #google &amp; #Microsoft be friends? :( I don't want to have two calendars!
66,1319206710095953920,Thu Oct 22 09:19:24 +0000 2020,"@skruffl LMAO These are almost as bad as Adobe's new icons

(they could take a page out of microsoft's graphic design book 👀👀)"
67,1319206695294234624,Thu Oct 22 09:19:20 +0000 2020,RT @chass: Join us! Thursday October 22 Power Platform Community Conference     https://t.co/oFn0J8zyNU
68,1319206690630164481,Thu Oct 22 09:19:19 +0000 2020,"RT @HiromitsuTakagi: まとめ！

■GAFA勢
Google 10点
Amazon 10点
Facebook 10点
Apple 5点
Microsoft 10点
Twitter 9点
ヤフー 0点
はてな 8点

■航空会社
JAL 0点
ANA 0点
A…"
69,1319206684506660864,Thu Oct 22 09:19:17 +0000 2020,"RT @cornichecorp: AR, VR, Autonomy, Automation, Healthcare #DigitalTransformation #digital #transformation via https://t.co/KDUhFaFE1M http…"
