,created_at,id,text,language
47,Sun May 02 23:59:53 +0000 2021,1.3890067617853972e+18,"RT @JoeVizanko: FREEFORMED HYBRIDS

“An interesting sci-fi take on the origins of humanity, a fairly original storyline”

by @JoeVizanko

h…",en
48,Sun May 02 23:59:52 +0000 2021,1.3890067589039596e+18,"RT @BernardJanWorld: RT ❤ What if Alien is right? Aren’t those eyes the source of all his troubles and injuries, both those visible to the…",en
49,Sun May 02 23:59:51 +0000 2021,1.3890067559679508e+18,"RT @Annie_Acorn: MY NEWEST Luna Lake Cabins entry – standalone, full-length novel A Second Kiss for Christmas https://t.co/PIg9RPtDOr Can a…",en
50,Sun May 02 23:59:47 +0000 2021,1.3890067371565466e+18,"A product in my #kit: ""Gaming"" 
About this item
 More Information:
https://t.co/zGafigUH2x
#gigabyte #asus #intel… https://t.co/be2ao1fPkW",en
51,Sun May 02 23:59:47 +0000 2021,1.3890067360367124e+18,"Wish you a happy #MothersDay 
@RebelNurse76
https://t.co/qYuBZuygEb",en
52,Sun May 02 23:59:45 +0000 2021,1.3890067284868506e+18,"$TSLA Watching closely for a breakout from this wedge. A break to the upside can bring 762, 779, 800. A break under… https://t.co/nOsARDdo82",en
53,Sun May 02 23:59:44 +0000 2021,1.389006726020563e+18,RT @LJDare1: @LJDare1 Wishing you Days of sunshine-Book 1-The King’s Blade https://t.co/sULVUbjkWK  Book 2-The King’s Spy https://t.co/Z5dK…,en
54,Sun May 02 23:59:35 +0000 2021,1.389006689567916e+18,Highland Warrior by @HMcCollumAuthor is #LIVE! https://t.co/pbue52k4ki @entangledpub #SonsofSinclair… https://t.co/MlgnF1Y1E6,en
55,Sun May 02 23:59:33 +0000 2021,1.389006680583676e+18,RT @wynta_tyme: 🗣Surprise Shawty! I’m live🥰😂 click the link below to indulge in my latest romance suspense read. Happy Release Day to me✨🎉🥳…,en
56,Sun May 02 23:59:33 +0000 2021,1.389006678843089e+18,"RT @FatKidDeals: 4 pack of Shower Caps, $21.61!

Save 6% with promo code 06XFPHKG

https://t.co/EF1uGL2SqQ https://t.co/B9xUUeAjUl",en
57,Sun May 02 23:59:30 +0000 2021,1.3890066685502587e+18,Frosted Flakes Watch Charger Magnetic Charging Cable for iWatch Portable Wireless Charging Cord Compatible with App… https://t.co/zc9SrDRMUB,en
58,Sun May 02 23:59:28 +0000 2021,1.3890066593605263e+18,"@jdem_7 We understand your concern. Some items may get shipped separately. To clarify, have we missed the delivery… https://t.co/yrm8Mrejiq",en
59,Sun May 02 23:59:28 +0000 2021,1.389006658421072e+18,"RT @Nintendeal: Miitopia (Switch) is $0.11 off on Amazon: https://t.co/dW40CD1uA1 #ad $49.88 releases May 21

You're welcome. https://t.co/…",en
60,Sun May 02 23:59:25 +0000 2021,1.3890066442526638e+18,"Fortnite Concept Art

Gear up here ==&gt;https://t.co/9jQsNaFUqP

#fortnite #gameart https://t.co/MrQ8ebQyd7",en
61,Sun May 02 23:59:22 +0000 2021,1.3890066313802957e+18,"RT @visualenglish7: 【英検１級フレーズ❗️】

get an epiphany
(かつての友人)

英検１級レベルの入門単語帳↙︎
https://t.co/ff9ciD0u52 https://t.co/kAM9Hgu715",en
62,Sun May 02 23:59:13 +0000 2021,1.38900659742754e+18,"“Success is a journey, not a destination.” ~ Frank Sonnenberg https://t.co/h3J2B9gd7O #BookSmart",en
