,Unnamed: 0,Unnamed: 0.1,index,created_at,id,text,language,shingleSet,signature,builtModel_sentiment,vader_score
29,29,31,31.0,Mon May 03 23:58:32 +0000 2021,1.3893688121187123e+18, Thanks for reaching out with your feedback  We accept a variety of payment options  including cred  ,en,"{1147150467, 958315267, 1012442117, 2026802833, 2203624351, 108620200, 839865385, 1932386857, 1909194035, 1634095668, 3734916280, 615007940, 2214334406, 4021329101, 4122780240, 1367084895, 2056935009, 4186546667, 298890874}","[131383908, 69401330, 247094863, 236032981, 226910575, 779479149, 14560126, 849982968, 383396045, 291110115]",1,0.743
30,30,32,32.0,Mon May 03 23:58:24 +0000 2021,1.3893687767565353e+18,  Just saw this on Amazon  Enemy of the People  The Untold Story of the Journalists Who Opposed Hitler by Petty  Terrence for ,en,"{3703787524, 3681910021, 378635142, 536499335, 2803059082, 1054619788, 1440597139, 1633077396, 814358547, 3018442402, 1384329007, 697190972, 3025504958, 264377283, 1882606787, 2246620751, 3344231249, 2404997850, 3689716059, 2185627235, 2849386595, 1688444654, 2720762866, 459745653, 3067302008, 3138487801}","[9799653, 349658358, 149103224, 18191971, 61403635, 22638144, 213572577, 1473579, 15966461, 193773228]",1,-0.5574
31,31,33,33.0,Mon May 03 23:58:22 +0000 2021,1.3893687708130386e+18,     Tusken Raider      Statue by Kotobukiya    Hurry  Only   LEFT ,en,"{45796896, 4185818780, 3543676674, 418419651, 218113156, 167079722, 862599950, 1905233169, 437870161, 2051824115, 4013102741, 469461205, 3992244024, 3922615545, 369750072, 1783885947, 2922849404}","[63015609, 761848152, 425738275, 109686701, 416009332, 279234806, 154246386, 19393978, 59131617, 6733422]",-1,0.0
32,32,34,,,,,,set(),"[4294967312, 4294967312, 4294967312, 4294967312, 4294967312, 4294967312, 4294967312, 4294967312, 4294967312, 4294967312]",1,0.0
33,33,35,35.0,Mon May 03 23:58:19 +0000 2021,1.389368755571024e+18,  A Die Hard Christmas Gift Set hardcover book with John McClane plush is       on Amazon   ad  ,en,"{993730947, 3540159372, 4013102741, 4104641305, 316965412, 2332059941, 1990618283, 2505576891, 2053217655, 3190521160, 634259150, 1398000214, 3689716059, 4070334302, 2399324517, 1479170535, 1139419372, 1053219184, 3603124849, 354063860, 4048817653, 2671228406, 2377849463}","[440254422, 648870944, 188211719, 230061871, 116022311, 128174267, 84529337, 266052585, 299399960, 170478127]",1,-0.1779
34,34,36,36.0,Mon May 03 23:58:19 +0000 2021,1.3893687552186532e+18,Capitalize on the Negative Overreaction Towards  ViacomCBS  VIAC    DISCA  NFLX  DIS  AAPL  FOXA  CMCSA  T  VZ  ,en,"{4261133843, 302604435, 4013102741, 2445614106, 1031021727, 1163644453, 1255919019, 1984123568, 2457712438, 282381883, 2858940355, 4216054853, 4257921094, 3347679175, 1155978575, 3244849370, 3110388706, 3324415843, 4276472549, 582297450, 3747530348, 1311325038, 14884974, 4092857328, 4103157232, 2230652405, 913110391, 3935525369}","[255124720, 68407975, 27988400, 233182087, 371010354, 67252176, 30282927, 42704764, 10205161, 54557696]",1,-0.6597
35,35,37,37.0,Mon May 03 23:58:18 +0000 2021,1.3893687541825782e+18,DONT MISS THIS DEAL   Massage Gun Deep Tissue Percussion Body Massager for Muscles Handheld Therapy and Relaxation   ,en,"{1265735940, 1712591753, 3596246154, 3005224972, 1422111378, 3554073365, 4013102741, 1889408676, 37703985, 1662513346, 188243395, 3840780101, 4020976203, 1134889548, 2727302219, 3731075919, 3799212240, 444626930, 1104834934, 3655926776}","[454713466, 101797729, 121708715, 742435841, 705365851, 27454365, 18886534, 106960708, 126807609, 377429566]",-1,0.4564
36,36,38,38.0,Mon May 03 23:58:18 +0000 2021,1.3893687541786092e+18,Star Wars Battlefront II price just Dropped Big TIME       starwars  mandalorian ,en,"{2575860289, 1581528772, 1977157701, 3750890760, 2965388009, 929164874, 296519022, 2404673488, 2415906677, 4013102741, 3271236315, 2525124700, 2259286589, 1067247326}","[146180856, 206144087, 73162130, 907655687, 137067787, 558918280, 207721375, 222384552, 649104369, 680576183]",1,-0.7003
37,37,39,39.0,Mon May 03 23:58:17 +0000 2021,1.3893687495355146e+18,    May       Canadian Lieutenant  Colonel  MD John  McCrae writes the poem  In Flanders Fields   He wrote the  poem in t ,en,"{2245258120, 1976564362, 4031327883, 1419172495, 4013102741, 2256180758, 3158533656, 3793427353, 3692866471, 930667817, 3179531562, 2665025069, 269593654, 1529859909, 3821789765, 2326592202, 3247028427, 1552701260, 2541750221, 1882937164, 402120143, 4284930257, 3945604824, 3291889498, 3549654114, 1232023402, 992991984, 2723093490, 2849792126, 539228287}","[27853788, 10190977, 19824656, 164203287, 35606639, 13591694, 413586682, 113562391, 112365585, 140149721]",1,0.0
38,38,40,40.0,Mon May 03 23:58:15 +0000 2021,1.3893687390496522e+18,  pack of LED RGB Flood Lights            Coupon PLUS Save     with promo code   TKHBLS    ,en,"{76694145, 3464214147, 1341767563, 4292360593, 4013102741, 3901776413, 1757777441, 3856571174, 3241478830, 2167938868, 2361686838, 2777540411, 1886540094, 3707513981, 3531156571, 824793567, 824735718, 1183805040, 2763478001, 321160693, 581497848, 521054717}","[85992275, 15423487, 95554163, 49854546, 186715325, 34038345, 146793680, 241349971, 167794369, 128178149]",1,0.4939
