,index,created_at,id,text,language
67,71.0,Sun May 02 23:58:55 +0000 2021,1.3890065197154345e+18,  My Mexican slaves  Goddess needs cheering up    ,en
68,72.0,Sun May 02 23:58:55 +0000 2021,1.3890065186624922e+18,Amazon  airpods max                    Monitored at           ,en
70,74.0,Sun May 02 23:58:53 +0000 2021,1.3890065098504397e+18,  Super Mario Odyssey  Switch  physical and digital releases are both        right now  Amazon   GameS ,en
71,75.0,Sun May 02 23:58:49 +0000 2021,1.3890064932283392e+18, if you don t have an ice maker ,en
72,76.0,Sun May 02 23:58:47 +0000 2021,1.389006486236541e+18,Lightning Offer BAGAIL Microfiber Towel Perfect Sports  amp  Travel  amp  Beach Towel  Fast Drying At only       instead of  ,en
73,77.0,Sun May 02 23:58:41 +0000 2021,1.3890064628574904e+18,    May       England s King Henry VIII has his former wife Anne  Boleyn arrested for high  treason  She is sent to the T ,en
74,78.0,Thu Apr 29 19:00:02 +0000 2021,1.387844140403204e+18,he truth won t suffice  he will have to fight for it   Meet  VakeelSaabOnPrime now    ,en
75,79.0,Sat May 01 23:59:55 +0000 2021,1.3886443837974856e+18,  Animal Crossing  New Horizons   Timmy  amp  Tommy   Nintendo Switch Lite Skin is       on Amazon   ad https ,en
76,80.0,Sat May 01 23:59:55 +0000 2021,1.3886443833612206e+18,Check out this book   A Very Dangerous Woman  The Lives  Loves and Lies of Russia s Most Seductive Spy  by Deborah  ,en
77,81.0,Sat May 01 23:59:55 +0000 2021,1.3886443831011615e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight With  ,en
78,82.0,Sat May 01 23:59:53 +0000 2021,1.3886443772753797e+18,Liberty and Justice for All T Shirt BUY HERE   BlackLivesMatter   BlackTwitter ,en
79,83.0,Sat May 01 23:59:52 +0000 2021,1.3886443725399736e+18,  Destroy All Humans  DNA Collector s Edition  PC  is        on Amazon  MSRP            ad  ,en
80,84.0,Sat May 01 23:59:48 +0000 2021,1.3886443545631334e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight Within ,en
81,85.0,Sat May 01 23:59:46 +0000 2021,1.3886443441402716e+18,      Ring Light Bundle for           Save     with promo code   RFDK          Seller MUST be MoonLak ,en
82,86.0,Sat May 01 23:59:43 +0000 2021,1.388644334191485e+18, Thank you for clarifying  Please try these troubleshooting steps and let us know if the issue cont  ,en
83,87.0,Sat May 01 23:59:41 +0000 2021,1.3886443245821706e+18,   FREEreadKU  Was having stressful day but this book is guaranteed to leave you chilled with a smile on your face  Review AFT ,en
84,88.0,Sat May 01 23:59:40 +0000 2021,1.3886443226570465e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight Wit  ,en
85,89.0,Sat May 01 23:59:34 +0000 2021,1.3886442966984376e+18, NAT TEST   Official Text book      NAT TEST           ,en
86,90.0,Sat May 01 23:59:26 +0000 2021,1.3886442631187948e+18,   FREEreadKU  A very well written  entertaining story  I have not laughed so much in a long time   Review  AFTER THE CALENDAR ,en
87,91.0,Sat May 01 23:59:26 +0000 2021,1.3886442600529306e+18,NOW in Audio  How to Survive a    K Mortgage written by  and narrated by Rebecca Ortiz   ,en
88,92.0,Sat May 01 23:59:25 +0000 2021,1.388644259453096e+18, SALE  Just A Regular Mom Trying Not To Raise Republicans T Shirt BUY HERE   TruthMatters ,en
89,93.0,Sat May 01 23:59:23 +0000 2021,1.3886442483004375e+18,I wasn t involved in writing  Raging Storm  It s my wife s book and awesome ,en
90,94.0,Sat May 01 23:59:22 +0000 2021,1.3886442466729984e+18, MagicTouch    BeatingHearts                     kingandprince                                 King  amp  Prince  Amazo  ,en
91,95.0,Sat May 01 23:59:22 +0000 2021,1.3886442446052598e+18, Some people set the bar so low you can trip over it     Frank Sonnenberg   BookSmart,en
92,96.0,Sat May 01 23:59:20 +0000 2021,1.3886442361537372e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight Within ,en
93,97.0,Sat May 01 23:59:14 +0000 2021,1.388644212787368e+18, Infinite Wisdom   Infinite Wisdom  II  The Fight Within ,en
