,index,Unnamed: 0,created_at,id,text,language,spam
0,0,0,Sun May 02 07:59:00 +0000 2021,1.388764950466863e+18, House of Cards  has always hit differently   Happy  th birthday to  s  The Most Beautiful Moment In Life   ,en,0
1,1,1,Sun May 02 22:11:00 +0000 2021,1.3889793600240558e+18,POWER A Enhanced Wireless Controller for Nintendo Switch   Waluigi is up for preorder on Amazon           ,en,1
2,2,2,Sun May 02 14:21:00 +0000 2021,1.3888610816160686e+18,Select  st party Switch        physical digital sale  Amazon  GameStop  ,en,0
3,3,3,Mon May 03 23:59:58 +0000 2021,1.3893691708575007e+18,Silicone Eye Pad for Oculus Quest   Face Cushion Cover Washable Anti Leakage Light Blocking Face Cover VR Accessori  ,en,0
4,4,4,Mon May 03 23:59:52 +0000 2021,1.3893691470630953e+18,Power Strip Surge Protector    Outlets   USB Ports   Ft Flat Plug Braided Extension Cord  Only           Use Promo  ,en,0
5,5,5,Mon May 03 23:59:46 +0000 2021,1.389369120920064e+18,   Authors  Bloggers  Readers It s time for a Manic  Monday  writerslift  Feel  free to  list your  books newest  reads ,en,1
6,6,6,Mon May 03 23:59:43 +0000 2021,1.389369109796868e+18, Hi  You can turn off the microphone  When this is done  Alexa won t respond to voice commands until yo  ,en,0
7,7,7,Mon May 03 23:59:42 +0000 2021,1.3893691037947044e+18,   One Peace Books  Ryousen Takami  amp  Honoji s Multi Mind Mayhem Volume    Isekai Tensei Soudouki pre orders are up at B amp N https  ,en,0
8,8,8,Mon May 03 23:59:37 +0000 2021,1.3893690832258376e+18,   Shonen Jump  Undead Unluck Volume   pre orders are up at Rightstuf  Amazon  B amp N ,en,0
9,9,9,Mon May 03 23:59:36 +0000 2021,1.3893690809063465e+18, The definitive  and great   DXP breakdown is Deng Xiaoping and the Transformation of China  A fascin  ,en,0
10,10,10,Mon May 03 23:59:35 +0000 2021,1.3893690736838615e+18,Amazon s Choice OXO          Good Grips Freezer to Oven Safe Glass Loaf Baking Dish  Clear Was        Price        amp   ,en,0
11,11,11,Mon May 03 23:59:30 +0000 2021,1.389369055325401e+18,Find it here  gt    YAFantasy  BookBoost  BookRecommendation  amreading  Read  book  ,en,0
12,12,12,Mon May 03 23:59:24 +0000 2021,1.389369029723181e+18,Kidde          Pro      Fire  Extinguisher  ABC     CI    lbs    Pack by Kidde  via ,en,0
13,13,13,Mon May 03 23:59:23 +0000 2021,1.389369025424134e+18,    Piece  Spice  Grinder with  Pollen  Catcher for        coupon on page   ,en,0
14,14,14,Mon May 03 23:59:20 +0000 2021,1.389369012212183e+18, One of the true tests of integrity is your refusal to compromise your honor at any price    Frank Sonnenberg  ,en,0
15,15,15,Mon May 03 23:59:16 +0000 2021,1.389368997418832e+18,All That Glitters  A Climber s Journey Through Addiction and Depression   Margo Talbot battles through some rough t  ,en,0
16,16,16,Mon May 03 23:59:16 +0000 2021,1.3893689964667617e+18,Had good leaders like me   Read Leadership by Storytelling Dr  Tom DePaoli  Avoid leaders wh  ,en,0
17,17,17,Mon May 03 23:59:10 +0000 2021,1.389368970482946e+18,   Romance  Magic A SUMMER BEWITCHMENT  UK    I am the troll king of this ,en,0
18,18,18,Mon May 03 23:59:09 +0000 2021,1.3893689649045873e+18,  Cloak your brain powered meat mech humanoid body with a Shantae Game Boy Color style shirt  Sold via Amazon Prime   ,en,0
